,id,room_type,neighbourhood,price,review_scores_rating,review_scores_cleanliness,review_scores_communication
8010,856610351567376217,Entire home/apt,"Athina, Greece",144.0,4.91,5.0,4.95
8011,856927659227263481,Entire home/apt,"Athina, Greece",93.0,4.82,4.91,4.85
8012,856939102785843515,Entire home/apt,,35.0,4.85,4.88,5.0
8013,856971771740050993,Entire home/apt,,51.0,4.75,4.75,5.0
8014,856981797159993203,Entire home/apt,,60.0,5.0,5.0,5.0
8015,857021722595579451,Entire home/apt,"Athina, Greece",76.0,5.0,4.75,5.0
8016,857029912318532167,Entire home/apt,"Athina, Greece",96.0,4.75,4.88,4.88
8017,857046007375875179,Entire home/apt,"Athina, Greece",59.0,5.0,5.0,5.0
8018,857050660482907891,Entire home/apt,"Athina, Greece",59.0,4.75,4.75,4.75
8019,857054304948830366,Entire home/apt,"Athina, Greece",98.0,5.0,5.0,5.0
8020,857057053013140461,Entire home/apt,"Athina, Greece",55.0,4.91,5.0,5.0
8021,857113784792539074,Entire home/apt,,50.0,3.38,3.88,4.0
8022,857169777199108244,Private room,"Athina, Greece",218.0,,,
8023,857215908825700926,Private room,"Athina, Greece",208.0,5.0,5.0,5.0
8024,857239559565693328,Shared room,,20.0,3.5,3.25,3.5
8025,857245714427687671,Entire home/apt,"Athina, Greece",93.0,5.0,4.92,5.0
8026,857281299158668312,Entire home/apt,"Athina, Greece",54.0,4.86,4.93,4.93
8027,857474423085292454,Entire home/apt,,40.0,5.0,5.0,5.0
8028,857691008002699202,Entire home/apt,,40.0,5.0,5.0,5.0
8029,857705884447231271,Private room,"Athina, Greece",243.0,,,
8030,857765547121514387,Entire home/apt,"Athina, Greece",59.0,4.64,4.36,5.0
8031,857776872867973101,Entire home/apt,,175.0,4.71,4.65,4.82
8032,857835263020771233,Entire home/apt,"Athina, Greece",80.0,4.8,5.0,5.0
8033,857854175234284452,Entire home/apt,,90.0,4.95,5.0,4.97
8034,857950365632165851,Entire home/apt,"Athina, Greece",170.0,5.0,4.95,5.0
8035,858425485680446076,Entire home/apt,"Athina, Greece",184.0,5.0,5.0,5.0
8036,858435973410776201,Entire home/apt,,201.0,4.67,4.67,4.5
8037,858520749594844049,Entire home/apt,"Athina, Greece",200.0,5.0,5.0,5.0
8038,858566087696401505,Entire home/apt,,57.0,4.83,4.91,4.95
8039,858631829532373147,Entire home/apt,"Athina, Greece",54.0,4.86,4.88,4.95
8040,858647042843406494,Entire home/apt,"Athina, Greece",71.0,4.4,4.8,5.0
8041,858713911634260123,Entire home/apt,,26.0,4.62,4.62,4.93
8042,858751650689394012,Entire home/apt,"Athina, Greece",172.0,4.68,4.96,4.88
8043,858798248955867180,Entire home/apt,,80.0,4.67,5.0,5.0
8044,859057890553298346,Entire home/apt,,52.0,4.82,4.45,4.87
8045,859109601167741558,Entire home/apt,,45.0,5.0,5.0,4.75
8046,859288322102724757,Entire home/apt,,190.0,5.0,5.0,5.0
8047,859299695071508216,Entire home/apt,"Athina, Greece",40.0,4.57,4.67,4.83
8048,859392448740259578,Entire home/apt,"Athina, Greece",59.0,4.88,4.92,4.92
8049,859511288643500433,Entire home/apt,,45.0,4.85,4.95,4.95
8050,859608150916802555,Entire home/apt,,39.0,5.0,5.0,5.0
8051,859888202145815138,Entire home/apt,"Athina, Greece",78.0,5.0,4.9,5.0
8052,859907678657421955,Entire home/apt,,51.0,4.54,4.62,5.0
8053,859966873295671643,Entire home/apt,,41.0,4.42,4.75,4.74
